categoria;razon_social;nit;departamento;municipio;direccion;correo
Comidas;LEMA INVERSIONES SAS;900431945;BOGOTA;BOGOTA D.C.;KR 78 NO 36 A 54 SUR;lemainversiones@gmail.com
Comidas;CONTRATACIÓN COLOMBIA 2025 S.A.S.;901974702;BOGOTA;BOGOTA D.C.;CR 5 NO. 21 96 APT 1902;jbohorquezdaza@hotmail.com
Comidas;THE TITA´S FOOD SAS;900983040;BOGOTA;BOGOTA D.C.;CLL 43 A SUR NO.72B/26;dannisegui@yahoo.es
Comidas;IURIS INVERSIONES SAS;901511289;BOGOTA;BOGOTA D.C.;CALLE 65 # 7 - 25;iuris.consultinginvestment@gmail.com
Comidas;LOS POTRILLOS M.C SAS;901758974;BOGOTA;BOGOTA D.C.;CR 20 # 14 - 05 PISO 2 Y 4;lospotrillosm.c@gmail.com
Comidas;HABITAT RIO VERDE SAS;901611547;BOGOTA;BOGOTA D.C.;CL 90 NO. 12 45 OF 602;jurislegalsas@gmail.com
Comidas;MICOSPOTS S.A.S;901779050;BOGOTA;BOGOTA D.C.;Carrera 7 83 36;diazroaa@gmail.com
Comidas;PRAVEL SAS;901958632;BOGOTA;BOGOTA D.C.;CR 67 NO. 42 15 APT 301 SALITRE GRECO;joel.prada@gmail.com
Comidas;GO CATERING SAS;901994291;BOGOTA;BOGOTA D.C.;CL 185 NO. 45 03 2DO P L 201 I;admongocatering@gmail.com
Comidas;GRUPO HANKS S.A.S;901682309;BOGOTA;BOGOTA D.C.;CALLE 76A 112 15;grupohanks@elantojo.co
Comidas;LLAMARADA WOK S.A.S;901704975;BOGOTA;BOGOTA D.C.;CR 53B #131A -85;llamaradawok@gmail.com
Comidas;G&B GROUP SAS;901706954;BOGOTA;BOGOTA D.C.;Carrera 11 # 138 - 53;gybgroupsas@gmail.com
Comidas;TONILAS SAS;901554105;BOGOTA;BOGOTA D.C.;CL 71 A NO. 17 18;femuca2002@yahoo.com
Comidas;ROYAL SERVICE DE COLOMBIA S.A.S.;901140682;BOGOTA;BOGOTA D.C.;CARRERA 13 No. 28 - 08 LOCAL 40 CENTRO I;royalserviceoficial@gmail.com
Comidas;BOCADOS Y BEBIDAS DE BOYACA S.A.S;901752769;BOGOTA;BOGOTA D.C.;Carrera 85 L 63 B 42;bocadosybebidas@gmail.com
Comidas;AMSI EVENTOS Y SOLUCIONES SAS;901472182;BOGOTA;BOGOTA D.C.;CLL 135 # 45 A 45;amsi54eventosysoluciones@gmail.com
Comidas;GRUPO DARTA S.A.S;901387175;BOGOTA;BOGOTA D.C.;Carrera 17 # 137 - 27;arteaga_d@hotmail.com
Comidas;GRUPO PÓNGALE LA FIRMA S.A.S;901939667;BOGOTA;BOGOTA D.C.;CR 8 NO. 63 31;camiloguerrero88@gmail.com
Comidas;CAFEYLICORES S.A.S;901904321;BOGOTA;BOGOTA D.C.;Avenida Calle 19 25 04 LOCAL 80315;cafeylicoresbogota@gmail.com
Comidas;HOTEL ZONA OCCIDENTE S.A.S;901361631;BOGOTA;BOGOTA D.C.;CR 106 106 99 LC 136 MZ 24 ZF FONTIBON;droa@oxohotel.com
Comidas;LOS CISNES Y/O HOTEL INTER BOGOTA S.A.S;860070376;BOGOTA;BOGOTA D.C.;CR 3 NO. 20-17 / 21;gerencia@interbogotahotel.com
Comidas;ATOMO ROSA SAS;901924506;BOGOTA;BOGOTA D.C.;CL 27 NO. 4 A - 35;atomorosa@gmail.com
Comidas;SAINT JIMMY'S S.A.S.;901977510;BOGOTA;BOGOTA D.C.;CL 134 BIS NO. 19 80 AP 216;stjimmysbar@outlook.com
Comidas;O.K MUSIC MEGA EVENTOS SAS;901995617;BOGOTA;BOGOTA D.C.;CL 160 NO. 19 A 05;okmusicmegaeventos@gmail.com
Comidas;GRUPO ALMA FT S.A.S;901990803;BOGOTA;BOGOTA D.C.;Carrera 22 22 92 SUR;grupoalmaft@gmail.com
Comidas;REPOSO CREATIVO S.A.S;901948562;BOGOTA;BOGOTA D.C.;Carrera 19 A 1 F 29;reposo5creativo@gmail.com
Comidas;CANTERBURY CAFE SAS;901161496;BOGOTA;BOGOTA D.C.;CR 71 D NO. 3 A 37 Sur;artescanterbury@gmail.com
Comidas;A2K S.A.S.;901610234;BOGOTA;BOGOTA D.C.;CR 7 # 180 30 OF 502;a2k.pys@gmail.com
Comidas;OPEN BY HOLIDAYS SAS;901361696;BOGOTA;BOGOTA D.C.;CR 83 NO. 24 A 46 AP 201;bogota.open@hotmail.com
Comidas;ISLA INDIA S.A.S.;901191155;BOGOTA;BOGOTA D.C.;CALLE 93 A # 10 - 54 OFICINA 304;msalazar@arrobainversiones.com
Comidas;CARLOS PEREZ INVERSIONES SAS;901582333;BOGOTA;BOGOTA D.C.;AC 24 NO. 51 40 OF 416;carlosandresperezrojas98@gmail.com
Comidas;CONEXION INNOVADORA SAS;901854916;BOGOTA;BOGOTA D.C.;CL 47 NO. 14 22 PI 2;caotic47bar@gmail.com
Comidas;INVERSIONES AZULM S.A.S.;901809036;BOGOTA;BOGOTA D.C.;CR 73 B NO. 8 07;inversionesazul6@gmail.com
Comidas;INNOVA CJ S.A.S;901982018;BOGOTA;BOGOTA D.C.;Calle 176 52 03 TORRE 3 APARTAMENTO 1425;innovacj2@gmail.com
Comidas;EBF COLOMBIA S.A.S;900596338;BOGOTA;BOGOTA D.C.;Calle 25 G 100 26;administracion@goyurt.com.co
Comidas;INVERSIONES LOPEZ CARDENAS SAS;901908226;BOGOTA;BOGOTA D.C.;CR 69 NO. 12 B 21;inversioneslopezcardenas@gmail.com
Comidas;HOTEL NORMANDIA GOLD S.A.S;901177373;BOGOTA;BOGOTA D.C.;CR 71 B NO. 54 81;normandiagold.hotel@gmail.com
Comidas;BARAK & BLESSED GROUP SAS;901700251;BOGOTA;BOGOTA D.C.;Avenida Jimenez No 4 - 66;byblagloria@gmail.com
Comidas;CAFETERIA RESTAURANTE LAS AMERICAS SAS;901423685;BOGOTA;BOGOTA D.C.;AV DE LAS AMERICAS NO. 43 A 48;restaurantelasamericassas@gmail.com
Comidas;MAGGIES KITCHEN S EN C;900572606;BOGOTA;BOGOTA D.C.;CLL 83 A # 21 A 16;maggieskitchencatering@gmail.com
